route_id,from_stop,to_stop,fare_stages,fare_min_inr,fare_max_inr
EKM_42C,vytilla,edapally,3,13,15
EKM_42C,vytilla,kalamassery,5,19,23
EKM_42C,vytilla,aluva,7,25,30
EKM_42C,edapally,kalamassery,2,10,12
EKM_42C,edapally,aluva,4,16,20
EKM_42C,kalamassery,aluva,3,13,15
EKM_55A,ernakulam_south,ernakulam_north,1,7,8
EKM_55A,ernakulam_south,edapally,4,16,20
EKM_55A,ernakulam_south,kalamassery,6,22,26
EKM_55A,ernakulam_south,aluva,8,28,34
EKM_55A,ernakulam_north,aluva,7,25,30
EKM_18B,ernakulam_south,angamaly,11,37,44
EKM_18B,aluva,angamaly,3,13,15
EKM_77,ernakulam_south,thrissur,25,79,90
EKM_77,ernakulam_south,angamaly,11,37,44
EKM_77,aluva,thrissur,17,55,65
EKM_77,chalakudy,thrissur,8,28,34
EKM_21,vytilla,kakkanad,4,16,20
EKM_33,ernakulam_south,tripunithura,3,13,15
EKM_90,aluva,kochi_airport,6,22,26
EKM_90,angamaly,kochi_airport,3,13,15
EKM_12,ernakulam_south,muvattupuzha,14,46,55
EKM_12,ernakulam_south,tripunithura,3,13,15
EKM_60,aluva,perumbavoor,6,22,26
EKM_R001,ernakulam_ksrtc,vytilla,2,10,12
EKM_R001,ernakulam_ksrtc,aroor,6,22,26
EKM_R001,ernakulam_ksrtc,cherthala,11,37,44
EKM_R001,ernakulam_ksrtc,alappuzha,18,61,70
EKM_R001,vytilla,aroor,4,16,20
EKM_R001,vytilla,cherthala,9,31,37
EKM_R001,vytilla,alappuzha,16,52,62
EKM_R001,aroor,cherthala,5,19,23
EKM_R001,aroor,alappuzha,12,43,50
EKM_R001,cherthala,alappuzha,7,25,30
EKM_R002,ernakulam_south,kottayam,21,67,78
EKM_R002,ernakulam_south,alappuzha,33,106,120
EKM_R002,kottayam,alappuzha,12,43,50
EKM_R003,vytilla,aroor,4,16,20
EKM_R003,vytilla,cherthala,9,31,37
EKM_R003,aroor,cherthala,5,19,23
EKM_R004,cherthala,alappuzha,7,25,30
EKM_R005,ernakulam_ksrtc,kottayam,21,67,78
EKM_R005,ernakulam_ksrtc,muvattupuzha,14,46,55
EKM_R005,tripunithura,kottayam,18,61,70
