route_id,sequence,stop_id,distance_from_start_km
EKM_42C,1,vytilla,0
EKM_42C,2,edapally,8
EKM_42C,3,kalamassery,14
EKM_42C,4,aluva,22
EKM_55A,1,ernakulam_south,0
EKM_55A,2,ernakulam_north,2
EKM_55A,3,edapally,10
EKM_55A,4,kalamassery,16
EKM_55A,5,aluva,24
EKM_18B,1,ernakulam_south,0
EKM_18B,2,ernakulam_north,2
EKM_18B,3,edapally,10
EKM_18B,4,kalamassery,16
EKM_18B,5,aluva,24
EKM_18B,6,angamaly,34
EKM_77,1,ernakulam_south,0
EKM_77,2,edapally,10
EKM_77,3,aluva,24
EKM_77,4,angamaly,34
EKM_77,5,chalakudy,52
EKM_77,6,thrissur,76
EKM_21,1,vytilla,0
EKM_21,2,kakkanad,11
EKM_33,1,ernakulam_south,0
EKM_33,2,tripunithura,9
EKM_90,1,aluva,0
EKM_90,2,angamaly,10
EKM_90,3,kochi_airport,18
EKM_12,1,ernakulam_south,0
EKM_12,2,tripunithura,9
EKM_12,3,muvattupuzha,42
EKM_60,1,aluva,0
EKM_60,2,perumbavoor,18
EKM_R001,1,ernakulam_ksrtc,0
EKM_R001,2,vytilla,5
EKM_R001,3,aroor,18
EKM_R001,4,cherthala,35
EKM_R001,5,alappuzha,55
EKM_R002,1,ernakulam_south,0
EKM_R002,2,tripunithura,9
EKM_R002,3,muvattupuzha,42
EKM_R002,4,kottayam,65
EKM_R002,5,changanacherry,80
EKM_R002,6,alappuzha,100
EKM_R003,1,vytilla,0
EKM_R003,2,aroor,13
EKM_R003,3,cherthala,30
EKM_R004,1,cherthala,0
EKM_R004,2,alappuzha,20
EKM_R005,1,ernakulam_ksrtc,0
EKM_R005,2,tripunithura,9
EKM_R005,3,muvattupuzha,42
EKM_R005,4,kottayam,65
