alias,canonical_stop_id,language,note
alleppey,alappuzha,en,Old British name for Alappuzha
alleppy,alappuzha,en,Common misspelling
aleppy,alappuzha,en,Common misspelling
alwaye,aluva,en,Old British name for Aluva
aluwaye,aluva,en,Misspelling variant
vyttila,vytilla,en,Common alternate spelling
vyttilla,vytilla,en,Common alternate spelling
cochin,ernakulam_ksrtc,en,Old name for Kochi/Ernakulam
kochi,ernakulam_ksrtc,en,City name used as stop reference
ernakulam,ernakulam_ksrtc,en,City name used as stop reference
infopark,kakkanad,en,Landmark-based name
airport,kochi_airport,en,Generic reference
cochin airport,kochi_airport,en,Old airport name
hill palace,tripunithura,en,Landmark-based name
south station,ernakulam_south,en,Short form
north station,ernakulam_north,en,Short form
medical college,kalamassery,en,Landmark-based name
trichur,thrissur,en,Old name for Thrissur
trivandrum,alappuzha,ml,Sometimes confused by tourists
kerala backwaters,alappuzha,en,Tourist landmark reference
changanassery,changanacherry,en,Common misspelling
changancherry,changanacherry,en,Common misspelling
ആലപ്പി,alappuzha,ml,Malayalam short form
अलप्पी,alappuzha,hi,Hindi variant
अलप्पुझा,alappuzha,hi,Hindi transliteration
त्रिशूर,thrissur,hi,Hindi transliteration
कोच्चि,ernakulam_ksrtc,hi,Hindi name for Kochi
एर्नाकुलम,ernakulam_ksrtc,hi,Hindi transliteration
